,sequence_id,case_id,prediction,target,ae,se,acc,pert_name,snr
0,0,pig4_0105878-0106878,117,112,0.0185,0.000342250000000001,1,none,1.2034951
1,1,pig4_0105878-0106878,117,111,0.0222,0.00049284,1,none,1.2034951
2,2,pig4_0105878-0106878,119,110,0.0333,0.00110889,1,none,1.2034951
3,3,pig4_0105878-0106878,119,109,0.037,0.001369,1,none,1.2034951
4,4,pig4_0105878-0106878,112,108,0.0148,0.000219039999999999,1,none,1.2034951
5,5,pig4_0105878-0106878,121,108,0.0481,0.00231361,1,none,1.2034951
6,6,pig4_0105878-0106878,110,107,0.0111,0.00012321,1,none,1.2034951
7,7,pig4_0105878-0106878,108,106,0.00740000000000002,5.47600000000003E-05,1,none,1.2034951
8,8,pig4_0105878-0106878,112,105,0.0259,0.000670809999999999,1,none,1.2034951
9,9,pig4_0105878-0106878,116,105,0.0407,0.00165649,1,none,1.2034951
10,10,pig4_0105878-0106878,114,104,0.037,0.001369,1,intsh,2.0733373
11,11,pig4_0105878-0106878,111,104,0.0259,0.000670809999999999,1,intsh,2.0733373
12,12,pig4_0105878-0106878,115,103,0.0444000000000001,0.00197136,1,intsh,2.0733373
13,13,pig4_0105878-0106878,103,103,0,0,1,intsh,2.0733373
14,14,pig4_0105878-0106878,100,103,0.0111,0.00012321,1,intsh,2.0733373
15,15,pig4_0105878-0106878,110,103,0.0259,0.000670810000000002,1,intsh,2.0733373
16,16,pig4_0105878-0106878,102,102,0,0,1,intsh,2.0733373
17,17,pig4_0105878-0106878,101,102,0.00369999999999998,1.36899999999999E-05,1,intsh,2.0733373
18,18,pig4_0105878-0106878,102,102,0,0,1,intsh,2.0733373
19,19,pig4_0105878-0106878,104,102,0.00740000000000002,5.47600000000003E-05,1,intsh,2.0733373
20,20,pig4_0105878-0106878,100,101,0.00370000000000004,1.36900000000003E-05,1,none,1.1615161
21,21,pig4_0105878-0106878,115,101,0.0518,0.00268324,1,none,1.1615161
22,22,pig4_0105878-0106878,116,101,0.0555,0.00308025,1,none,1.1615161
23,23,pig4_0105878-0106878,107,101,0.0222,0.00049284,1,none,1.1615161
24,24,pig4_0105878-0106878,101,100,0.00370000000000004,1.36900000000003E-05,1,none,1.1615161
25,25,pig4_0105878-0106878,105,100,0.0185,0.000342250000000001,1,none,1.1615161
26,26,pig4_0105878-0106878,108,100,0.0296,0.000876160000000001,1,none,1.1615161
27,27,pig4_0105878-0106878,106,100,0.0222,0.00049284,1,none,1.1615161
28,28,pig4_0105878-0106878,99,101,0.00740000000000002,5.47600000000003E-05,1,none,1.1615161
29,29,pig4_0105878-0106878,95,101,0.0222,0.00049284,1,none,1.1615161
30,30,pig4_0105878-0106878,,101,2.1164,4.47914896,0,contr,1.1070286
31,31,pig4_0105878-0106878,,101,2.1164,4.47914896,0,contr,1.1070286
32,32,pig4_0105878-0106878,,101,2.1164,4.47914896,0,contr,1.1070286
33,33,pig4_0105878-0106878,,101,2.1164,4.47914896,0,contr,1.1070286
34,34,pig4_0105878-0106878,,101,2.1164,4.47914896,0,contr,1.1070286
35,35,pig4_0105878-0106878,,101,2.1164,4.47914896,0,contr,1.1070286
36,36,pig4_0105878-0106878,,101,2.1164,4.47914896,0,contr,1.1070286
37,37,pig4_0105878-0106878,,102,2.1127,4.46350129,0,contr,1.1070286
38,38,pig4_0105878-0106878,,102,2.1127,4.46350129,0,contr,1.1070286
39,39,pig4_0105878-0106878,,102,2.1127,4.46350129,0,contr,1.1070286
40,40,pig4_0105878-0106878,98,102,0.0148,0.000219039999999999,1,none,1.0890731
41,41,pig4_0105878-0106878,101,102,0.00369999999999998,1.36899999999999E-05,1,none,1.0890731
42,42,pig4_0105878-0106878,104,102,0.00740000000000002,5.47600000000003E-05,1,none,1.0890731
43,43,pig4_0105878-0106878,103,102,0.00369999999999998,1.36899999999999E-05,1,none,1.0890731
44,44,pig4_0105878-0106878,105,102,0.0111,0.00012321,1,none,1.0890731
45,45,pig4_0105878-0106878,114,102,0.0444,0.00197136,1,none,1.0890731
46,46,pig4_0105878-0106878,102,103,0.00369999999999998,1.36899999999999E-05,1,none,1.0890731
47,47,pig4_0105878-0106878,102,103,0.00369999999999998,1.36899999999999E-05,1,none,1.0890731
48,48,pig4_0105878-0106878,113,103,0.037,0.001369,1,none,1.0890731
49,49,pig4_0105878-0106878,104,103,0.00370000000000004,1.36900000000003E-05,1,none,1.0890731
50,50,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.153119
51,51,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.153119
52,52,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.153119
53,53,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.153119
54,54,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.153119
55,55,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.153119
56,56,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.153119
57,57,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.153119
58,58,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.153119
59,59,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.153119
60,60,pig4_0105878-0106878,101,105,0.0148,0.000219039999999999,1,rect,0.9758565
61,61,pig4_0105878-0106878,110,105,0.0185,0.000342250000000001,1,rect,0.9758565
62,62,pig4_0105878-0106878,108,105,0.0111,0.00012321,1,rect,0.9758565
63,63,pig4_0105878-0106878,106,105,0.00369999999999998,1.36899999999999E-05,1,rect,0.9758565
64,64,pig4_0105878-0106878,111,105,0.0222,0.00049284,1,rect,0.9758565
65,65,pig4_0105878-0106878,110,106,0.0148,0.000219040000000001,1,rect,0.9758565
66,66,pig4_0105878-0106878,109,106,0.0111,0.00012321,1,rect,0.9758565
67,67,pig4_0105878-0106878,102,106,0.0148,0.000219039999999999,1,rect,0.9758565
68,68,pig4_0105878-0106878,107,106,0.00370000000000004,1.36900000000003E-05,1,rect,0.9758565
69,69,pig4_0105878-0106878,107,106,0.00370000000000004,1.36900000000003E-05,1,rect,0.9758565
70,70,pig4_0105878-0106878,13,107,0.3478,0.12096484,1,noise,0.92728376
71,71,pig4_0105878-0106878,,107,2.0942,4.38567364,0,noise,0.92728376
72,72,pig4_0105878-0106878,,107,2.0942,4.38567364,0,noise,0.92728376
73,73,pig4_0105878-0106878,,107,2.0942,4.38567364,0,noise,0.92728376
74,74,pig4_0105878-0106878,,107,2.0942,4.38567364,0,noise,0.92728376
75,75,pig4_0105878-0106878,,107,2.0942,4.38567364,0,noise,0.92728376
76,76,pig4_0105878-0106878,,107,2.0942,4.38567364,0,noise,0.92728376
77,77,pig4_0105878-0106878,,106,2.0979,4.40118441,0,noise,0.92728376
78,78,pig4_0105878-0106878,,106,2.0979,4.40118441,0,noise,0.92728376
79,79,pig4_0105878-0106878,,106,2.0979,4.40118441,0,noise,0.92728376
80,80,pig4_0105878-0106878,111,106,0.0185,0.000342250000000001,1,smooth,1.4201837
81,81,pig4_0105878-0106878,112,106,0.0222,0.00049284,1,smooth,1.4201837
