,sequence_id,case_id,prediction,target,ae,se,acc,pert_name,snr
0,0,pig4_0105878-0106878,117,112,0.0185,0.000342250000000001,1,rect,1.1342992
1,1,pig4_0105878-0106878,118,111,0.0259,0.000670810000000002,1,rect,1.1342992
2,2,pig4_0105878-0106878,121,110,0.0407,0.00165649,1,rect,1.1342992
3,3,pig4_0105878-0106878,121,109,0.0444000000000001,0.00197136,1,rect,1.1342992
4,4,pig4_0105878-0106878,114,108,0.0222,0.00049284,1,rect,1.1342992
5,5,pig4_0105878-0106878,123,108,0.0555,0.00308025,1,rect,1.1342992
6,6,pig4_0105878-0106878,113,107,0.0222,0.00049284,1,rect,1.1342992
7,7,pig4_0105878-0106878,110,106,0.0148,0.000219040000000001,1,rect,1.1342992
8,8,pig4_0105878-0106878,116,105,0.0407,0.00165649,1,rect,1.1342992
9,9,pig4_0105878-0106878,116,105,0.0407,0.00165649,1,rect,1.1342992
10,10,pig4_0105878-0106878,114,104,0.037,0.001369,1,intsh,2.1463444
11,11,pig4_0105878-0106878,111,104,0.0259,0.000670809999999999,1,intsh,2.1463444
12,12,pig4_0105878-0106878,115,103,0.0444000000000001,0.00197136,1,intsh,2.1463444
13,13,pig4_0105878-0106878,103,103,0,0,1,intsh,2.1463444
14,14,pig4_0105878-0106878,99,103,0.0148,0.000219039999999999,1,intsh,2.1463444
15,15,pig4_0105878-0106878,112,103,0.0333,0.00110889,1,intsh,2.1463444
16,16,pig4_0105878-0106878,102,102,0,0,1,intsh,2.1463444
17,17,pig4_0105878-0106878,102,102,0,0,1,intsh,2.1463444
18,18,pig4_0105878-0106878,102,102,0,0,1,intsh,2.1463444
19,19,pig4_0105878-0106878,105,102,0.0111,0.00012321,1,intsh,2.1463444
20,20,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.95289963
21,21,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.95289963
22,22,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.95289963
23,23,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.95289963
24,24,pig4_0105878-0106878,,100,2.1201,4.49482401,0,noise,0.95289963
25,25,pig4_0105878-0106878,,100,2.1201,4.49482401,0,noise,0.95289963
26,26,pig4_0105878-0106878,,100,2.1201,4.49482401,0,noise,0.95289963
27,27,pig4_0105878-0106878,,100,2.1201,4.49482401,0,noise,0.95289963
28,28,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.95289963
29,29,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.95289963
30,30,pig4_0105878-0106878,111,101,0.037,0.001369,1,smooth,1.5613679
31,31,pig4_0105878-0106878,108,101,0.0259,0.000670809999999999,1,smooth,1.5613679
32,32,pig4_0105878-0106878,111,101,0.037,0.001369,1,smooth,1.5613679
33,33,pig4_0105878-0106878,110,101,0.0333,0.00110889,1,smooth,1.5613679
34,34,pig4_0105878-0106878,111,101,0.037,0.001369,1,smooth,1.5613679
35,35,pig4_0105878-0106878,112,101,0.0407,0.00165649,1,smooth,1.5613679
36,36,pig4_0105878-0106878,109,101,0.0296,0.000876159999999998,1,smooth,1.5613679
37,37,pig4_0105878-0106878,107,102,0.0185,0.000342250000000001,1,smooth,1.5613679
38,38,pig4_0105878-0106878,107,102,0.0185,0.000342250000000001,1,smooth,1.5613679
39,39,pig4_0105878-0106878,110,102,0.0296,0.000876160000000001,1,smooth,1.5613679
40,40,pig4_0105878-0106878,98,102,0.0148,0.000219039999999999,1,rect,1.0895548
41,41,pig4_0105878-0106878,101,102,0.00369999999999998,1.36899999999999E-05,1,rect,1.0895548
42,42,pig4_0105878-0106878,104,102,0.00740000000000002,5.47600000000003E-05,1,rect,1.0895548
43,43,pig4_0105878-0106878,103,102,0.00369999999999998,1.36899999999999E-05,1,rect,1.0895548
44,44,pig4_0105878-0106878,105,102,0.0111,0.00012321,1,rect,1.0895548
45,45,pig4_0105878-0106878,114,102,0.0444,0.00197136,1,rect,1.0895548
46,46,pig4_0105878-0106878,102,103,0.00369999999999998,1.36899999999999E-05,1,rect,1.0895548
47,47,pig4_0105878-0106878,102,103,0.00369999999999998,1.36899999999999E-05,1,rect,1.0895548
48,48,pig4_0105878-0106878,113,103,0.037,0.001369,1,rect,1.0895548
49,49,pig4_0105878-0106878,104,103,0.00370000000000004,1.36900000000003E-05,1,rect,1.0895548
50,50,pig4_0105878-0106878,,103,2.109,4.447881,0,noise,0.93103486
51,51,pig4_0105878-0106878,,103,2.109,4.447881,0,noise,0.93103486
52,52,pig4_0105878-0106878,,103,2.109,4.447881,0,noise,0.93103486
53,53,pig4_0105878-0106878,,104,2.1053,4.43228809,0,noise,0.93103486
54,54,pig4_0105878-0106878,,104,2.1053,4.43228809,0,noise,0.93103486
55,55,pig4_0105878-0106878,,104,2.1053,4.43228809,0,noise,0.93103486
56,56,pig4_0105878-0106878,,104,2.1053,4.43228809,0,noise,0.93103486
57,57,pig4_0105878-0106878,,104,2.1053,4.43228809,0,noise,0.93103486
