,sequence_id,case_id,prediction,target,ae,se,acc,pert_name,snr
0,0,pig4_0105878-0106878,117,112,0.0185,0.000342250000000001,1,none,1.2034951
1,1,pig4_0105878-0106878,117,111,0.0222,0.00049284,1,none,1.2034951
2,2,pig4_0105878-0106878,119,110,0.0333,0.00110889,1,none,1.2034951
3,3,pig4_0105878-0106878,119,109,0.037,0.001369,1,none,1.2034951
4,4,pig4_0105878-0106878,112,108,0.0148,0.000219039999999999,1,none,1.2034951
5,5,pig4_0105878-0106878,121,108,0.0481,0.00231361,1,none,1.2034951
6,6,pig4_0105878-0106878,110,107,0.0111,0.00012321,1,none,1.2034951
7,7,pig4_0105878-0106878,108,106,0.00740000000000002,5.47600000000003E-05,1,none,1.2034951
8,8,pig4_0105878-0106878,112,105,0.0259,0.000670809999999999,1,none,1.2034951
9,9,pig4_0105878-0106878,116,105,0.0407,0.00165649,1,none,1.2034951
10,10,pig4_0105878-0106878,122,104,0.0666,0.00443556,1,intsh,0.3364987
11,11,pig4_0105878-0106878,121,104,0.0629,0.00395641,1,intsh,0.3364987
12,12,pig4_0105878-0106878,118,103,0.0555000000000001,0.00308025000000001,1,intsh,0.3364987
13,13,pig4_0105878-0106878,118,103,0.0555000000000001,0.00308025000000001,1,intsh,0.3364987
14,14,pig4_0105878-0106878,120,103,0.0629,0.00395641,1,intsh,0.3364987
15,15,pig4_0105878-0106878,118,103,0.0555000000000001,0.00308025000000001,1,intsh,0.3364987
16,16,pig4_0105878-0106878,119,102,0.0629,0.00395641,1,intsh,0.3364987
17,17,pig4_0105878-0106878,119,102,0.0629,0.00395641,1,intsh,0.3364987
18,18,pig4_0105878-0106878,119,102,0.0629,0.00395641,1,intsh,0.3364987
19,19,pig4_0105878-0106878,119,102,0.0629,0.00395641,1,intsh,0.3364987
20,20,pig4_0105878-0106878,112,101,0.0407,0.00165649,1,smooth,1.7450441
21,21,pig4_0105878-0106878,115,101,0.0518,0.00268324,1,smooth,1.7450441
22,22,pig4_0105878-0106878,114,101,0.0481,0.00231361,1,smooth,1.7450441
23,23,pig4_0105878-0106878,114,101,0.0481,0.00231361,1,smooth,1.7450441
24,24,pig4_0105878-0106878,114,100,0.0518,0.00268324,1,smooth,1.7450441
25,25,pig4_0105878-0106878,110,100,0.037,0.001369,1,smooth,1.7450441
26,26,pig4_0105878-0106878,116,100,0.0592,0.00350464,1,smooth,1.7450441
27,27,pig4_0105878-0106878,110,100,0.037,0.001369,1,smooth,1.7450441
28,28,pig4_0105878-0106878,113,101,0.0444,0.00197136,1,smooth,1.7450441
29,29,pig4_0105878-0106878,108,101,0.0259,0.000670809999999999,1,smooth,1.7450441
30,30,pig4_0105878-0106878,99,101,0.00740000000000002,5.47600000000003E-05,1,none,1.1070286
31,31,pig4_0105878-0106878,103,101,0.00739999999999996,5.47599999999994E-05,1,none,1.1070286
32,32,pig4_0105878-0106878,102,101,0.00369999999999998,1.36899999999999E-05,1,none,1.1070286
33,33,pig4_0105878-0106878,103,101,0.00739999999999996,5.47599999999994E-05,1,none,1.1070286
34,34,pig4_0105878-0106878,102,101,0.00369999999999998,1.36899999999999E-05,1,none,1.1070286
35,35,pig4_0105878-0106878,108,101,0.0259,0.000670809999999999,1,none,1.1070286
36,36,pig4_0105878-0106878,98,101,0.0111,0.00012321,1,none,1.1070286
37,37,pig4_0105878-0106878,100,102,0.00740000000000002,5.47600000000003E-05,1,none,1.1070286
38,38,pig4_0105878-0106878,98,102,0.0148,0.000219039999999999,1,none,1.1070286
39,39,pig4_0105878-0106878,104,102,0.00740000000000002,5.47600000000003E-05,1,none,1.1070286
40,40,pig4_0105878-0106878,107,102,0.0185,0.000342250000000001,1,smooth,1.5254384
41,41,pig4_0105878-0106878,110,102,0.0296,0.000876160000000001,1,smooth,1.5254384
42,42,pig4_0105878-0106878,109,102,0.0259,0.000670809999999999,1,smooth,1.5254384
43,43,pig4_0105878-0106878,108,102,0.0222,0.00049284,1,smooth,1.5254384
44,44,pig4_0105878-0106878,107,102,0.0185,0.000342250000000001,1,smooth,1.5254384
45,45,pig4_0105878-0106878,115,102,0.0481,0.00231361,1,smooth,1.5254384
46,46,pig4_0105878-0106878,112,103,0.0333,0.00110889,1,smooth,1.5254384
47,47,pig4_0105878-0106878,112,103,0.0333,0.00110889,1,smooth,1.5254384
48,48,pig4_0105878-0106878,113,103,0.037,0.001369,1,smooth,1.5254384
49,49,pig4_0105878-0106878,109,103,0.0222,0.00049284,1,smooth,1.5254384
50,50,pig4_0105878-0106878,120,103,0.0629,0.00395641,1,intsh,0.3198899
51,51,pig4_0105878-0106878,119,103,0.0592,0.00350464,1,intsh,0.3198899
52,52,pig4_0105878-0106878,120,103,0.0629,0.00395641,1,intsh,0.3198899
53,53,pig4_0105878-0106878,115,104,0.0407,0.00165649,1,intsh,0.3198899
54,54,pig4_0105878-0106878,121,104,0.0629,0.00395641,1,intsh,0.3198899
55,55,pig4_0105878-0106878,121,104,0.0629,0.00395641,1,intsh,0.3198899
56,56,pig4_0105878-0106878,121,104,0.0629,0.00395641,1,intsh,0.3198899
57,57,pig4_0105878-0106878,118,104,0.0518,0.00268324,1,intsh,0.3198899
58,58,pig4_0105878-0106878,114,104,0.037,0.001369,1,intsh,0.3198899
59,59,pig4_0105878-0106878,114,105,0.0333,0.00110889,1,intsh,0.3198899
60,60,pig4_0105878-0106878,101,105,0.0148,0.000219039999999999,1,intsh,2.4237037
61,61,pig4_0105878-0106878,105,105,0,0,1,intsh,2.4237037
62,62,pig4_0105878-0106878,105,105,0,0,1,intsh,2.4237037
63,63,pig4_0105878-0106878,104,105,0.00369999999999998,1.36899999999999E-05,1,intsh,2.4237037
64,64,pig4_0105878-0106878,109,105,0.0148,0.000219039999999999,1,intsh,2.4237037
65,65,pig4_0105878-0106878,110,106,0.0148,0.000219040000000001,1,intsh,2.4237037
66,66,pig4_0105878-0106878,107,106,0.00370000000000004,1.36900000000003E-05,1,intsh,2.4237037
67,67,pig4_0105878-0106878,102,106,0.0148,0.000219039999999999,1,intsh,2.4237037
68,68,pig4_0105878-0106878,105,106,0.00369999999999998,1.36899999999999E-05,1,intsh,2.4237037
69,69,pig4_0105878-0106878,105,106,0.00369999999999998,1.36899999999999E-05,1,intsh,2.4237037
70,70,pig4_0105878-0106878,102,107,0.0185,0.000342250000000001,1,none,1.0519556
71,71,pig4_0105878-0106878,107,107,0,0,1,none,1.0519556
72,72,pig4_0105878-0106878,105,107,0.00740000000000002,5.47600000000003E-05,1,none,1.0519556
73,73,pig4_0105878-0106878,98,107,0.0333,0.00110889,1,none,1.0519556
74,74,pig4_0105878-0106878,107,107,0,0,1,none,1.0519556
75,75,pig4_0105878-0106878,107,107,0,0,1,none,1.0519556
76,76,pig4_0105878-0106878,100,107,0.0259,0.000670810000000002,1,none,1.0519556
77,77,pig4_0105878-0106878,107,106,0.00370000000000004,1.36900000000003E-05,1,none,1.0519556
78,78,pig4_0105878-0106878,104,106,0.00739999999999996,5.47599999999994E-05,1,none,1.0519556
79,79,pig4_0105878-0106878,104,106,0.00739999999999996,5.47599999999994E-05,1,none,1.0519556
