,sequence_id,case_id,prediction,target,ae,se,acc,pert_name,snr
0,0,pig4_0105878-0106878,,112,2.0757,4.30853049,0,contr,1.5697044
1,1,pig4_0105878-0106878,,111,2.0794,4.32390436,0,contr,1.5697044
2,2,pig4_0105878-0106878,,110,2.0831,4.33930561,0,contr,1.5697044
3,3,pig4_0105878-0106878,,109,2.0868,4.35473424,0,contr,1.5697044
4,4,pig4_0105878-0106878,,108,2.0905,4.37019025,0,contr,1.5697044
5,5,pig4_0105878-0106878,,108,2.0905,4.37019025,0,contr,1.5697044
6,6,pig4_0105878-0106878,,107,2.0942,4.38567364,0,contr,1.5697044
7,7,pig4_0105878-0106878,,106,2.0979,4.40118441,0,contr,1.5697044
8,8,pig4_0105878-0106878,,105,2.1016,4.41672256,0,contr,1.5697044
9,9,pig4_0105878-0106878,,105,2.1016,4.41672256,0,contr,1.5697044
10,10,pig4_0105878-0106878,,1,2.4864,6.18218496,0,zoom,1.213064
11,11,pig4_0105878-0106878,,1,2.4864,6.18218496,0,zoom,1.213064
12,12,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.213064
13,13,pig4_0105878-0106878,10,0,0.037,0.001369,1,zoom,1.213064
14,14,pig4_0105878-0106878,10,0,0.037,0.001369,1,zoom,1.213064
15,15,pig4_0105878-0106878,,0,2.4901,6.20059801,0,zoom,1.213064
16,16,pig4_0105878-0106878,4,1,0.0111,0.00012321,1,zoom,1.213064
17,17,pig4_0105878-0106878,,1,2.4864,6.18218496,0,zoom,1.213064
18,18,pig4_0105878-0106878,,1,2.4864,6.18218496,0,zoom,1.213064
19,19,pig4_0105878-0106878,,1,2.4864,6.18218496,0,zoom,1.213064
20,20,pig4_0105878-0106878,100,101,0.00370000000000004,1.36900000000003E-05,1,rect,1.0274091
21,21,pig4_0105878-0106878,115,101,0.0518,0.00268324,1,rect,1.0274091
22,22,pig4_0105878-0106878,116,101,0.0555,0.00308025,1,rect,1.0274091
23,23,pig4_0105878-0106878,105,101,0.0148,0.000219039999999999,1,rect,1.0274091
24,24,pig4_0105878-0106878,105,100,0.0185,0.000342250000000001,1,rect,1.0274091
25,25,pig4_0105878-0106878,105,100,0.0185,0.000342250000000001,1,rect,1.0274091
26,26,pig4_0105878-0106878,105,100,0.0185,0.000342250000000001,1,rect,1.0274091
27,27,pig4_0105878-0106878,102,100,0.00740000000000002,5.47600000000003E-05,1,rect,1.0274091
28,28,pig4_0105878-0106878,101,101,0,0,1,rect,1.0274091
29,29,pig4_0105878-0106878,95,101,0.0222,0.00049284,1,rect,1.0274091
30,30,pig4_0105878-0106878,111,101,0.037,0.001369,1,smooth,1.5613679
31,31,pig4_0105878-0106878,108,101,0.0259,0.000670809999999999,1,smooth,1.5613679
32,32,pig4_0105878-0106878,111,101,0.037,0.001369,1,smooth,1.5613679
33,33,pig4_0105878-0106878,110,101,0.0333,0.00110889,1,smooth,1.5613679
34,34,pig4_0105878-0106878,111,101,0.037,0.001369,1,smooth,1.5613679
35,35,pig4_0105878-0106878,112,101,0.0407,0.00165649,1,smooth,1.5613679
36,36,pig4_0105878-0106878,109,101,0.0296,0.000876159999999998,1,smooth,1.5613679
37,37,pig4_0105878-0106878,107,102,0.0185,0.000342250000000001,1,smooth,1.5613679
38,38,pig4_0105878-0106878,107,102,0.0185,0.000342250000000001,1,smooth,1.5613679
39,39,pig4_0105878-0106878,110,102,0.0296,0.000876160000000001,1,smooth,1.5613679
40,40,pig4_0105878-0106878,117,102,0.0555,0.00308025,1,intsh,0.35008582
41,41,pig4_0105878-0106878,117,102,0.0555,0.00308025,1,intsh,0.35008582
42,42,pig4_0105878-0106878,117,102,0.0555,0.00308025,1,intsh,0.35008582
43,43,pig4_0105878-0106878,117,102,0.0555,0.00308025,1,intsh,0.35008582
44,44,pig4_0105878-0106878,116,102,0.0518,0.00268324,1,intsh,0.35008582
45,45,pig4_0105878-0106878,119,102,0.0629,0.00395641,1,intsh,0.35008582
46,46,pig4_0105878-0106878,119,103,0.0592,0.00350464,1,intsh,0.35008582
