,sequence_id,case_id,prediction,target,ae,se,acc,pert_name,snr
0,0,pig4_0105878-0106878,122,112,0.037,0.001369,1,smooth,1.8085098
1,1,pig4_0105878-0106878,122,111,0.0407,0.00165649,1,smooth,1.8085098
2,2,pig4_0105878-0106878,122,110,0.0444,0.00197136,1,smooth,1.8085098
3,3,pig4_0105878-0106878,122,109,0.0481,0.00231361,1,smooth,1.8085098
4,4,pig4_0105878-0106878,122,108,0.0518,0.00268324,1,smooth,1.8085098
5,5,pig4_0105878-0106878,121,108,0.0481,0.00231361,1,smooth,1.8085098
6,6,pig4_0105878-0106878,115,107,0.0296,0.000876160000000001,1,smooth,1.8085098
7,7,pig4_0105878-0106878,119,106,0.0481,0.00231361,1,smooth,1.8085098
8,8,pig4_0105878-0106878,119,105,0.0518,0.00268324,1,smooth,1.8085098
9,9,pig4_0105878-0106878,118,105,0.0481,0.00231361,1,smooth,1.8085098
10,10,pig4_0105878-0106878,109,104,0.0185,0.000342249999999999,1,contr,1.2231578
11,11,pig4_0105878-0106878,,104,2.1053,4.43228809,0,contr,1.2231578
12,12,pig4_0105878-0106878,,103,2.109,4.447881,0,contr,1.2231578
13,13,pig4_0105878-0106878,,103,2.109,4.447881,0,contr,1.2231578
14,14,pig4_0105878-0106878,15,103,0.3256,0.10601536,1,contr,1.2231578
15,15,pig4_0105878-0106878,101,103,0.00739999999999996,5.47599999999994E-05,1,contr,1.2231578
16,16,pig4_0105878-0106878,,102,2.1127,4.46350129,0,contr,1.2231578
17,17,pig4_0105878-0106878,,102,2.1127,4.46350129,0,contr,1.2231578
18,18,pig4_0105878-0106878,,102,2.1127,4.46350129,0,contr,1.2231578
19,19,pig4_0105878-0106878,,102,2.1127,4.46350129,0,contr,1.2231578
20,20,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.9284584
21,21,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.9284584
22,22,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.9284584
23,23,pig4_0105878-0106878,20,101,0.2997,0.08982009,1,noise,0.9284584
24,24,pig4_0105878-0106878,,100,2.1201,4.49482401,0,noise,0.9284584
25,25,pig4_0105878-0106878,,100,2.1201,4.49482401,0,noise,0.9284584
26,26,pig4_0105878-0106878,,100,2.1201,4.49482401,0,noise,0.9284584
27,27,pig4_0105878-0106878,,100,2.1201,4.49482401,0,noise,0.9284584
28,28,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.9284584
29,29,pig4_0105878-0106878,,101,2.1164,4.47914896,0,noise,0.9284584
30,30,pig4_0105878-0106878,99,101,0.00740000000000002,5.47600000000003E-05,1,intsh,2.518734
31,31,pig4_0105878-0106878,104,101,0.0111,0.00012321,1,intsh,2.518734
32,32,pig4_0105878-0106878,103,101,0.00739999999999996,5.47599999999994E-05,1,intsh,2.518734
33,33,pig4_0105878-0106878,102,101,0.00369999999999998,1.36899999999999E-05,1,intsh,2.518734
34,34,pig4_0105878-0106878,103,101,0.00739999999999996,5.47599999999994E-05,1,intsh,2.518734
35,35,pig4_0105878-0106878,107,101,0.0222,0.00049284,1,intsh,2.518734
36,36,pig4_0105878-0106878,101,101,0,0,1,intsh,2.518734
37,37,pig4_0105878-0106878,101,102,0.00369999999999998,1.36899999999999E-05,1,intsh,2.518734
38,38,pig4_0105878-0106878,98,102,0.0148,0.000219039999999999,1,intsh,2.518734
39,39,pig4_0105878-0106878,104,102,0.00740000000000002,5.47600000000003E-05,1,intsh,2.518734
40,40,pig4_0105878-0106878,98,102,0.0148,0.000219039999999999,1,none,1.0890731
41,41,pig4_0105878-0106878,101,102,0.00369999999999998,1.36899999999999E-05,1,none,1.0890731
42,42,pig4_0105878-0106878,104,102,0.00740000000000002,5.47600000000003E-05,1,none,1.0890731
43,43,pig4_0105878-0106878,103,102,0.00369999999999998,1.36899999999999E-05,1,none,1.0890731
44,44,pig4_0105878-0106878,105,102,0.0111,0.00012321,1,none,1.0890731
