,sequence_id,case_id,prediction,target,ae,se,acc,pert_name,maha_score,estimation_score,maha_img_score,supervised_score,glow_score
0,0,pig4_0105878-0106878,117.0,112.0,0.018500000000000016,0.0003422500000000006,1.0,none,170.62576,0.80739915,32.30781570330992,0.13021713,0.9463651
1,1,pig4_0105878-0106878,117.0,111.0,0.022199999999999998,0.0004928399999999999,1.0,none,170.62576,0.88139725,30.239625307485397,0.13021713,0.9463651
2,2,pig4_0105878-0106878,119.0,110.0,0.033299999999999996,0.0011088899999999997,1.0,none,170.62576,0.73186827,32.008107217705714,0.13021713,0.9463651
3,3,pig4_0105878-0106878,119.0,109.0,0.03700000000000003,0.0013690000000000024,1.0,none,170.62576,0.8330515,32.1650442304916,0.13021713,0.9463651
4,4,pig4_0105878-0106878,112.0,108.0,0.01479999999999998,0.0002190399999999994,1.0,none,170.62576,0.8169962,30.294100793310374,0.13021713,0.9463651
5,5,pig4_0105878-0106878,121.0,108.0,0.04810000000000003,0.002313610000000003,1.0,none,170.62576,0.8342675,30.548206640774197,0.13021713,0.9463651
6,6,pig4_0105878-0106878,110.0,107.0,0.011099999999999999,0.00012320999999999998,1.0,none,170.62576,0.7931874,30.70816097741024,0.13021713,0.9463651
7,7,pig4_0105878-0106878,108.0,106.0,0.007400000000000018,5.476000000000026e-05,1.0,none,170.62576,0.88060105,31.929015684705682,0.13021713,0.9463651
8,8,pig4_0105878-0106878,112.0,105.0,0.02589999999999998,0.0006708099999999989,1.0,none,170.62576,0.7871142,31.596013780344133,0.13021713,0.9463651
9,9,pig4_0105878-0106878,116.0,105.0,0.040700000000000014,0.0016564900000000011,1.0,none,170.62576,0.79286075,30.8060502720402,0.13021713,0.9463651
10,10,pig4_0105878-0106878,,104.0,2.1052999999999997,4.432288089999999,0.0,noise,319.9654,0.022191415,75.10945538981359,0.9984909,1.9521316
11,11,pig4_0105878-0106878,,104.0,2.1052999999999997,4.432288089999999,0.0,noise,319.9654,0.0036847892,69.30900509176942,0.9984909,1.9521316
12,12,pig4_0105878-0106878,,103.0,2.109,4.447881,0.0,noise,319.9654,0.0036847892,68.7496036690341,0.9984909,1.9521316
13,13,pig4_0105878-0106878,,103.0,2.109,4.447881,0.0,noise,319.9654,0.0036847892,74.06994303654824,0.9984909,1.9521316
14,14,pig4_0105878-0106878,,103.0,2.109,4.447881,0.0,noise,319.9654,0.028178757,66.95417119420323,0.9984909,1.9521316
15,15,pig4_0105878-0106878,,103.0,2.109,4.447881,0.0,noise,319.9654,0.11893405,74.73865898282953,0.9984909,1.9521316
16,16,pig4_0105878-0106878,,102.0,2.1127,4.463501289999999,0.0,noise,319.9654,0.013970019,72.37741925482302,0.9984909,1.9521316
17,17,pig4_0105878-0106878,,102.0,2.1127,4.463501289999999,0.0,noise,319.9654,0.013644967,71.16821766423092,0.9984909,1.9521316
