,sequence_id,case_id,prediction,target,ae,se,acc,pert_name,maha_score,estimation_score,maha_img_score,supervised_score,glow_score
0,0,pig4_0105878-0106878,117.0,112.0,0.018500000000000016,0.0003422500000000006,1.0,stripe,1070.6599,0.80739915,32.30781570330992,0.94873834,57.29139
1,1,pig4_0105878-0106878,117.0,111.0,0.022199999999999998,0.0004928399999999999,1.0,stripe,1070.6599,0.88139725,30.239625307485397,0.94873834,57.29139
2,2,pig4_0105878-0106878,119.0,110.0,0.033299999999999996,0.0011088899999999997,1.0,stripe,1070.6599,0.73186827,32.008107217705714,0.94873834,57.29139
3,3,pig4_0105878-0106878,119.0,109.0,0.03700000000000003,0.0013690000000000024,1.0,stripe,1070.6599,0.8330515,32.1650442304916,0.94873834,57.29139
4,4,pig4_0105878-0106878,112.0,108.0,0.01479999999999998,0.0002190399999999994,1.0,stripe,1070.6599,0.8169962,30.294100793310374,0.94873834,57.29139
5,5,pig4_0105878-0106878,121.0,108.0,0.04810000000000003,0.002313610000000003,1.0,stripe,1070.6599,0.8342675,30.548206640774197,0.94873834,57.29139
6,6,pig4_0105878-0106878,,107.0,2.0942,4.385673639999999,0.0,stripe,1070.6599,0.010001062,137.20211739576266,0.94873834,57.29139
7,7,pig4_0105878-0106878,108.0,106.0,0.007400000000000018,5.476000000000026e-05,1.0,stripe,1070.6599,0.88060105,31.929015684705682,0.94873834,57.29139
8,8,pig4_0105878-0106878,112.0,105.0,0.02589999999999998,0.0006708099999999989,1.0,stripe,1070.6599,0.7871142,31.596013780344133,0.94873834,57.29139
9,9,pig4_0105878-0106878,116.0,105.0,0.040700000000000014,0.0016564900000000011,1.0,stripe,1070.6599,0.79286075,30.8060502720402,0.94873834,57.29139
10,10,pig4_0105878-0106878,113.0,104.0,0.033299999999999996,0.0011088899999999997,1.0,none,155.40764,0.87774694,32.20063968700948,0.16586266,0.9504289
11,11,pig4_0105878-0106878,111.0,104.0,0.02589999999999998,0.0006708099999999989,1.0,none,155.40764,0.8437313,32.5889752361477,0.16586266,0.9504289
12,12,pig4_0105878-0106878,115.0,103.0,0.04440000000000005,0.0019713600000000045,1.0,none,155.40764,0.85297275,30.58185457660747,0.16586266,0.9504289
