,sequence_id,case_id,prediction,target,ae,se,acc,pert_name,maha_score,estimation_score,maha_img_score,supervised_score,glow_score
0,0,pig4_0105878-0106878,117.0,112.0,0.018500000000000016,0.0003422500000000006,1.0,none,170.62576,0.80739915,32.30781570330992,0.13021713,0.94517297
1,1,pig4_0105878-0106878,117.0,111.0,0.022199999999999998,0.0004928399999999999,1.0,none,170.62576,0.88139725,30.239625307485397,0.13021713,0.94517297
2,2,pig4_0105878-0106878,119.0,110.0,0.033299999999999996,0.0011088899999999997,1.0,none,170.62576,0.73186827,32.008107217705714,0.13021713,0.94517297
3,3,pig4_0105878-0106878,119.0,109.0,0.03700000000000003,0.0013690000000000024,1.0,none,170.62576,0.8330515,32.1650442304916,0.13021713,0.94517297
4,4,pig4_0105878-0106878,112.0,108.0,0.01479999999999998,0.0002190399999999994,1.0,none,170.62576,0.8169962,30.294100793310374,0.13021713,0.94517297
5,5,pig4_0105878-0106878,121.0,108.0,0.04810000000000003,0.002313610000000003,1.0,none,170.62576,0.8342675,30.548206640774197,0.13021713,0.94517297
6,6,pig4_0105878-0106878,110.0,107.0,0.011099999999999999,0.00012320999999999998,1.0,none,170.62576,0.7931874,30.70816097741024,0.13021713,0.94517297
7,7,pig4_0105878-0106878,108.0,106.0,0.007400000000000018,5.476000000000026e-05,1.0,none,170.62576,0.88060105,31.929015684705682,0.13021713,0.94517297
8,8,pig4_0105878-0106878,112.0,105.0,0.02589999999999998,0.0006708099999999989,1.0,none,170.62576,0.7871142,31.596013780344133,0.13021713,0.94517297
9,9,pig4_0105878-0106878,116.0,105.0,0.040700000000000014,0.0016564900000000011,1.0,none,170.62576,0.79286075,30.8060502720402,0.13021713,0.94517297
10,10,pig4_0105878-0106878,113.0,104.0,0.033299999999999996,0.0011088899999999997,1.0,none,155.40764,0.87774694,32.20063968700948,0.16586266,0.94895244
11,11,pig4_0105878-0106878,111.0,104.0,0.02589999999999998,0.0006708099999999989,1.0,none,155.40764,0.8437313,32.5889752361477,0.16586266,0.94895244
12,12,pig4_0105878-0106878,115.0,103.0,0.04440000000000005,0.0019713600000000045,1.0,none,155.40764,0.85297275,30.58185457660747,0.16586266,0.94895244
13,13,pig4_0105878-0106878,101.0,103.0,0.007399999999999962,5.475999999999944e-05,1.0,none,155.40764,0.67864037,32.293825825389135,0.16586266,0.94895244
14,14,pig4_0105878-0106878,104.0,103.0,0.0037000000000000366,1.369000000000027e-05,1.0,none,155.40764,0.7467242,31.354243267845995,0.16586266,0.94895244
15,15,pig4_0105878-0106878,114.0,103.0,0.040700000000000014,0.0016564900000000011,1.0,none,155.40764,0.84759384,31.997301871676527,0.16586266,0.94895244
16,16,pig4_0105878-0106878,102.0,102.0,0.0,0.0,1.0,none,155.40764,0.8096155,33.23472467482922,0.16586266,0.94895244
17,17,pig4_0105878-0106878,110.0,102.0,0.029600000000000015,0.0008761600000000009,1.0,none,155.40764,0.73610854,31.812598754745764,0.16586266,0.94895244
18,18,pig4_0105878-0106878,102.0,102.0,0.0,0.0,1.0,none,155.40764,0.82784307,33.12036608583932,0.16586266,0.94895244
19,19,pig4_0105878-0106878,105.0,102.0,0.011099999999999999,0.00012320999999999998,1.0,none,155.40764,0.8359595,32.097860797763815,0.16586266,0.94895244
20,20,pig4_0105878-0106878,100.0,101.0,0.0037000000000000366,1.369000000000027e-05,1.0,none,175.39313,0.87441295,33.42508418810542,0.03839211,0.9545093
21,21,pig4_0105878-0106878,115.0,101.0,0.05180000000000001,0.0026832400000000012,1.0,none,175.39313,0.7372399,33.54431119011637,0.03839211,0.9545093
22,22,pig4_0105878-0106878,116.0,101.0,0.055499999999999994,0.0030802499999999992,1.0,none,175.39313,0.7398951,32.978845417435025,0.03839211,0.9545093
23,23,pig4_0105878-0106878,107.0,101.0,0.022199999999999998,0.0004928399999999999,1.0,none,175.39313,0.7091002,32.37685717454214,0.03839211,0.9545093
24,24,pig4_0105878-0106878,101.0,100.0,0.0037000000000000366,1.369000000000027e-05,1.0,none,175.39313,0.82686484,32.50019002410759,0.03839211,0.9545093
25,25,pig4_0105878-0106878,105.0,100.0,0.018500000000000016,0.0003422500000000006,1.0,none,175.39313,0.80042756,30.863466310034724,0.03839211,0.9545093
26,26,pig4_0105878-0106878,108.0,100.0,0.029600000000000015,0.0008761600000000009,1.0,none,175.39313,0.7598136,33.35235107210279,0.03839211,0.9545093
27,27,pig4_0105878-0106878,106.0,100.0,0.022199999999999998,0.0004928399999999999,1.0,none,175.39313,0.819886,32.42047761202505,0.03839211,0.9545093
28,28,pig4_0105878-0106878,99.0,101.0,0.007400000000000018,5.476000000000026e-05,1.0,none,175.39313,0.98326224,32.08672637991987,0.03839211,0.9545093
29,29,pig4_0105878-0106878,95.0,101.0,0.022199999999999998,0.0004928399999999999,1.0,none,175.39313,0.8875501,31.001516351820335,0.03839211,0.9545093
30,30,pig4_0105878-0106878,99.0,101.0,0.007400000000000018,5.476000000000026e-05,1.0,none,178.2337,0.9242371,32.48068933837529,0.0056420024,0.9615298
31,31,pig4_0105878-0106878,103.0,101.0,0.007399999999999962,5.475999999999944e-05,1.0,none,178.2337,0.8448541,31.73207575021449,0.0056420024,0.9615298
32,32,pig4_0105878-0106878,102.0,101.0,0.003699999999999981,1.368999999999986e-05,1.0,none,178.2337,0.71181583,32.127158904737136,0.0056420024,0.9615298
33,33,pig4_0105878-0106878,103.0,101.0,0.007399999999999962,5.475999999999944e-05,1.0,none,178.2337,0.76184976,32.41803460076138,0.0056420024,0.9615298
34,34,pig4_0105878-0106878,102.0,101.0,0.003699999999999981,1.368999999999986e-05,1.0,none,178.2337,0.8712859,32.353255411660925,0.0056420024,0.9615298
35,35,pig4_0105878-0106878,108.0,101.0,0.02589999999999998,0.0006708099999999989,1.0,none,178.2337,0.8246437,32.55916599410401,0.0056420024,0.9615298
36,36,pig4_0105878-0106878,98.0,101.0,0.011099999999999999,0.00012320999999999998,1.0,none,178.2337,0.9240869,33.1080052476408,0.0056420024,0.9615298
37,37,pig4_0105878-0106878,100.0,102.0,0.007400000000000018,5.476000000000026e-05,1.0,none,178.2337,0.9259099,34.821168815481066,0.0056420024,0.9615298
38,38,pig4_0105878-0106878,98.0,102.0,0.01479999999999998,0.0002190399999999994,1.0,none,178.2337,0.85402024,33.543989626463855,0.0056420024,0.9615298
39,39,pig4_0105878-0106878,104.0,102.0,0.007400000000000018,5.476000000000026e-05,1.0,none,178.2337,0.8261782,33.35245324795524,0.0056420024,0.9615298
40,40,pig4_0105878-0106878,98.0,102.0,0.01479999999999998,0.0002190399999999994,1.0,none,163.57954,0.83872324,34.33626131478277,0.29775438,0.9607372
41,41,pig4_0105878-0106878,101.0,102.0,0.003699999999999981,1.368999999999986e-05,1.0,none,163.57954,0.8271889,34.42838475259694,0.29775438,0.9607372
42,42,pig4_0105878-0106878,104.0,102.0,0.007400000000000018,5.476000000000026e-05,1.0,none,163.57954,0.76885986,32.75788859307013,0.29775438,0.9607372
43,43,pig4_0105878-0106878,103.0,102.0,0.003699999999999981,1.368999999999986e-05,1.0,none,163.57954,0.8059293,32.584935776225386,0.29775438,0.9607372
